number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dims,params_lr,state
0,0.006213625418746982,2026-03-28 14:38:05.402270,2026-03-28 14:39:18.541684,0 days 00:01:13.139414,64,0.43286439451850656,"[128, 64]",0.0011414768316120034,COMPLETE
1,0.012560427999793018,2026-03-28 14:39:18.541684,2026-03-28 14:42:43.228242,0 days 00:03:24.686558,32,0.458211076831561,"[512, 256, 128]",0.0014767101387529924,COMPLETE
2,0.004133054529277952,2026-03-28 14:42:43.229748,2026-03-28 14:44:33.190698,0 days 00:01:49.960950,32,0.3351615453628941,"[128, 64]",3.080087574357118e-05,COMPLETE
3,0.00549243665883511,2026-03-28 14:44:33.190698,2026-03-28 14:46:13.382782,0 days 00:01:40.192084,32,0.18579956853367724,"[128, 64]",1.855636635626596e-05,COMPLETE
4,0.0019119955241371285,2026-03-28 14:46:13.383439,2026-03-28 14:50:32.782964,0 days 00:04:19.399525,64,0.046294619035019746,"[1024, 512, 256]",0.000437749799724999,COMPLETE
5,0.001442035011141961,2026-03-28 14:50:32.787512,2026-03-28 14:54:21.492941,0 days 00:03:48.705429,64,0.19934528683925418,"[1024, 512, 256]",2.7090566510809858e-05,COMPLETE
6,0.0059120772852571035,2026-03-28 14:54:21.496950,2026-03-28 14:56:32.102231,0 days 00:02:10.605281,128,0.22539730385478823,"[1024, 512, 256]",0.002682484057089235,COMPLETE
7,0.001818403589418009,2026-03-28 14:56:32.108768,2026-03-28 14:58:26.618666,0 days 00:01:54.509898,128,0.14138626004957705,"[1024, 512, 256]",0.00017038732656662415,COMPLETE
8,0.004163452438668566,2026-03-28 14:58:26.620715,2026-03-28 15:05:17.408275,0 days 00:06:50.787560,32,0.0581775827384155,"[1024, 512, 256]",0.0029546834283901762,COMPLETE
9,0.006047992244324878,2026-03-28 15:05:17.410461,2026-03-28 15:06:07.307933,0 days 00:00:49.897472,128,0.3419562719319596,"[256, 128]",0.002861947072676087,COMPLETE
